group,day,mouse,post_antibiotic,yl32
Ciprofloxacin,0,Mouse 1,True,3523155121.0
Ciprofloxacin,4,Mouse 1,True,5103428392.0
Ciprofloxacin,9,Mouse 1,False,4332948934.0
Ciprofloxacin,14,Mouse 1,True,5916518609.0
Ciprofloxacin,18,Mouse 1,True,4234637452.0
Ciprofloxacin,23,Mouse 1,False,3574227680.0
Ciprofloxacin,30,Mouse 1,False,3813425172.0
Ciprofloxacin,37,Mouse 1,False,3456547761.0
Ciprofloxacin,44,Mouse 1,False,7307524272.0
Ciprofloxacin,49,Mouse 1,True,3224799789.0
Ciprofloxacin,53,Mouse 1,True,4924501946.0
Ciprofloxacin,58,Mouse 1,False,4787379647.0
Ciprofloxacin,63,Mouse 1,True,6678690725.0
Ciprofloxacin,67,Mouse 1,True,13407130707.0
Ciprofloxacin,72,Mouse 1,False,4599820628.0
Ciprofloxacin,79,Mouse 1,False,6121117073.0
Ciprofloxacin,0,Mouse 2,True,4319675724.0
Ciprofloxacin,4,Mouse 2,True,4256043240.0
Ciprofloxacin,9,Mouse 2,False,3816789901.0
Ciprofloxacin,14,Mouse 2,True,4393661660.0
Ciprofloxacin,18,Mouse 2,True,5214183730.0
Ciprofloxacin,23,Mouse 2,False,2061467191.0
Ciprofloxacin,30,Mouse 2,False,5720706667.0
Ciprofloxacin,37,Mouse 2,False,9602226807.0
Ciprofloxacin,44,Mouse 2,False,3362165000.0
Ciprofloxacin,49,Mouse 2,True,4823035000.0
Ciprofloxacin,53,Mouse 2,True,4596894354.0
Ciprofloxacin,58,Mouse 2,False,5281394972.0
Ciprofloxacin,63,Mouse 2,True,13822395104.0
Ciprofloxacin,67,Mouse 2,True,5694389508.0
Ciprofloxacin,72,Mouse 2,False,7184439098.0
Ciprofloxacin,79,Mouse 2,False,3730860000.0
Ciprofloxacin,0,Mouse 3,True,18599705612.0
Ciprofloxacin,4,Mouse 3,True,3733536480.0
Ciprofloxacin,9,Mouse 3,False,6451448182.0
Ciprofloxacin,14,Mouse 3,True,3661183102.0
Ciprofloxacin,18,Mouse 3,True,13512039794.0
Ciprofloxacin,23,Mouse 3,False,3905999756.0
Ciprofloxacin,30,Mouse 3,False,5059422319.0
Ciprofloxacin,37,Mouse 3,False,8770348621.0
Ciprofloxacin,44,Mouse 3,False,4477526627.0
Ciprofloxacin,49,Mouse 3,True,8422334286.0
Ciprofloxacin,53,Mouse 3,True,5481039504.0
Ciprofloxacin,58,Mouse 3,False,3191977398.0
Ciprofloxacin,63,Mouse 3,True,21161259512.0
Ciprofloxacin,67,Mouse 3,True,5068656410.0
Ciprofloxacin,72,Mouse 3,False,7918148544.0
Ciprofloxacin,79,Mouse 3,False,3933939241.0
Ciprofloxacin,0,Mouse 4,True,16003219880.0
Ciprofloxacin,4,Mouse 4,True,6790393320.0
Ciprofloxacin,9,Mouse 4,False,5346151276.0
Ciprofloxacin,14,Mouse 4,True,6650797756.0
Ciprofloxacin,18,Mouse 4,True,4169952199.0
Ciprofloxacin,23,Mouse 4,False,3685160708.0
Ciprofloxacin,30,Mouse 4,False,4103352822.0
Ciprofloxacin,37,Mouse 4,False,5380595108.0
Ciprofloxacin,44,Mouse 4,False,4908491904.0
Ciprofloxacin,49,Mouse 4,True,3991609692.0
Ciprofloxacin,53,Mouse 4,True,12117462701.0
Ciprofloxacin,58,Mouse 4,False,5728409978.0
Ciprofloxacin,63,Mouse 4,True,37791137705.0
Ciprofloxacin,67,Mouse 4,True,11070724737.0
Ciprofloxacin,72,Mouse 4,False,5531711429.0
Ciprofloxacin,79,Mouse 4,False,5987143776.0
Tetracyclin,0,Mouse 1,True,2187948818.0
Tetracyclin,4,Mouse 1,True,1900356.03
Tetracyclin,9,Mouse 1,False,1051718203.0
Tetracyclin,14,Mouse 1,True,7590506449.0
Tetracyclin,18,Mouse 1,True,18998087.25
Tetracyclin,23,Mouse 1,False,601057177.4
Tetracyclin,30,Mouse 1,False,9149087166.0
Tetracyclin,37,Mouse 1,False,4428358000.0
Tetracyclin,44,Mouse 1,False,5865794603.0
Tetracyclin,49,Mouse 1,True,17460768868.0
Tetracyclin,53,Mouse 1,True,5027558.4
Tetracyclin,58,Mouse 1,False,2366521633.0
Tetracyclin,63,Mouse 1,True,4185849639.0
Tetracyclin,67,Mouse 1,True,1297582.85
Tetracyclin,72,Mouse 1,False,3205499169.0
Tetracyclin,79,Mouse 1,False,4538959116.0
Tetracyclin,0,Mouse 2,True,6178992154.0
Tetracyclin,4,Mouse 2,True,7817814.33
Tetracyclin,9,Mouse 2,False,3437710578.0
Tetracyclin,14,Mouse 2,True,4913544412.0
